04 00450 Agua Fria Union High School District                                       144844     8248      838 sd20-az.txt 26NOV2021
04 00480 Aguila Elementary District                                                   1414      216       50 sd20-az.txt 26NOV2021 
04 00520 Ajo Unified District                                                         3577      421      103 sd20-az.txt 26NOV2021 
04 00600 Alhambra Elementary District                                               101350    16028     4872 sd20-az.txt 26NOV2021 
04 00630 Alpine Elementary District                                                    465       44       15 sd20-az.txt 26NOV2021 
04 04770 Altar Valley Elementary District                                             7865     1333      281 sd20-az.txt 26NOV2021 
04 00680 Amphitheater Unified District                                              147446    18907     2881 sd20-az.txt 26NOV2021 
04 00720 Antelope Union High School District                                          7099      362       66 sd20-az.txt 26NOV2021 
04 00750 Apache Elementary District                                                    161       22       10 sd20-az.txt 26NOV2021 
04 00790 Apache Junction Unified District                                            72827     8133     1237 sd20-az.txt 26NOV2021 
04 00840 Arlington Elementary District                                                1744      273       73 sd20-az.txt 26NOV2021 
04 00870 Ash Creek Elementary District                                                 683       47        8 sd20-az.txt 26NOV2021 
04 00910 Ash Fork Joint Unified District                                              2022      260       63 sd20-az.txt 26NOV2021 
04 00960 Avondale Elementary District                                                53570     7887     1419 sd20-az.txt 26NOV2021 
04 01000 Bagdad Unified School District                                               2435      452       30 sd20-az.txt 26NOV2021 
04 01050 Balsz Elementary District                                                   34830     3884     1187 sd20-az.txt 26NOV2021 
04 01080 Beaver Creek Elementary District                                             5477      736      101 sd20-az.txt 26NOV2021 
04 00212 Benson Unified School District                                               7954     1116      250 sd20-az.txt 26NOV2021 
04 01160 Bicentennial Union High School District                                     11449      300       69 sd20-az.txt 26NOV2021 
04 01180 Bisbee Unified District                                                      6867      767      159 sd20-az.txt 26NOV2021 
04 01230 Blue Elementary District                                                       42        0        0 sd20-az.txt 26NOV2021 
04 06580 Blue Ridge Unified District                                                 14837     2450      588 sd20-az.txt 26NOV2021 
04 01260 Bonita Elementary District                                                   1261       54        5 sd20-az.txt 26NOV2021 
04 01290 Bouse Elementary District                                                    1240       44       13 sd20-az.txt 26NOV2021 
04 01330 Bowie Unified District                                                        585       79       18 sd20-az.txt 26NOV2021 
04 01380 Buckeye Elementary District                                                 45167     6209      919 sd20-az.txt 26NOV2021 
04 01410 Buckeye Union High School District                                          78927     4558      490 sd20-az.txt 26NOV2021 
04 01500 Bullhead City School District                                               43564     3384     1027 sd20-az.txt 26NOV2021 
04 01600 Camp Verde Unified District                                                 13037     1775      316 sd20-az.txt 26NOV2021 
04 01650 Canon Elementary District                                                    3321      333       90 sd20-az.txt 26NOV2021 
04 01680 Cartwright Elementary District                                             134405    22517     6105 sd20-az.txt 26NOV2021 
04 01710 Casa Grande Elementary District                                             77761     9941     1670 sd20-az.txt 26NOV2021 
04 01740 Casa Grande Union High School District                                     110975     5863      808 sd20-az.txt 26NOV2021 
04 01760 Catalina Foothills Unified District                                         33772     4616      210 sd20-az.txt 26NOV2021 
04 00001 Cave Creek Unified District                                                 67385     9172      579 sd20-az.txt 26NOV2021 
04 01810 Cedar Unified District                                                       7618     1575      524 sd20-az.txt 26NOV2021 
04 01870 Chandler Unified District                                                  264834    48153     3790 sd20-az.txt 26NOV2021 
04 01920 Chevelon Butte School District                                                690       27        2 sd20-az.txt 26NOV2021 
04 01940 Chinle Unified District                                                     20304     4525     1976 sd20-az.txt 26NOV2021 
04 00003 Chino Valley Unified District                                               24493     3415      469 sd20-az.txt 26NOV2021 
04 00004 Clarkdale-Jerome Elementary District                                         4286      326       44 sd20-az.txt 26NOV2021 
04 02130 Cochise Elementary District                                                   254       31        4 sd20-az.txt 26NOV2021 
04 00021 Colorado City Unified District                                               6655     2287      635 sd20-az.txt 26NOV2021 
04 00082 Colorado River Union High School District                                   69845     2642      570 sd20-az.txt 26NOV2021 
04 02190 Concho Elementary District                                                   2486      271      135 sd20-az.txt 26NOV2021 
04 02220 Congress Elementary District                                                 2777      205       12 sd20-az.txt 26NOV2021 
04 02250 Continental Elementary District                                             28190      682       60 sd20-az.txt 26NOV2021 
04 02320 Coolidge Unified District                                                   23198     4419      835 sd20-az.txt 26NOV2021 
04 02370 Cottonwood-Oak Creek Elementary District                                    33529     2910      408 sd20-az.txt 26NOV2021 
04 02400 Crane Elementary District                                                   48164     6734     1189 sd20-az.txt 26NOV2021 
04 02430 Creighton Elementary District                                               79148     9974     2643 sd20-az.txt 26NOV2021 
04 02460 Crown King Elementary District                                                198       14        2 sd20-az.txt 26NOV2021 
04 07750 Deer Valley Unified District                                               286754    50785     4630 sd20-az.txt 26NOV2021 
04 02490 Double Adobe Elementary District                                              468       81       12 sd20-az.txt 26NOV2021 
04 02530 Douglas Unified District                                                    21278     4212     1262 sd20-az.txt 26NOV2021 
04 02600 Duncan Unified District                                                      2935      528       69 sd20-az.txt 26NOV2021 
04 02690 Dysart Unified District                                                    196313    35314     4216 sd20-az.txt 26NOV2021 
04 02710 Eagle Elementary District                                                      48        4        0 sd20-az.txt 26NOV2021 
04 02760 Elfrida Elementary District                                                  1088      116       20 sd20-az.txt 26NOV2021 
04 02790 Eloy Elementary District                                                     8499     1171      309 sd20-az.txt 26NOV2021 
04 02820 Empire Elementary District                                                    485       70       16 sd20-az.txt 26NOV2021 
04 02860 Flagstaff Unified District                                                  93808    12737     1354 sd20-az.txt 26NOV2021 
04 02920 Florence Unified School District                                           111713    18584     1941 sd20-az.txt 26NOV2021 
04 03010 Flowing Wells Unified District                                              32477     5128     1331 sd20-az.txt 26NOV2021 
04 03150 Fort Huachuca Accommodation District                                         5445      667       41 sd20-az.txt 26NOV2021 
04 03200 Fort Thomas Unified District                                                 2676      644      155 sd20-az.txt 26NOV2021 
04 03040 Fountain Hills Unified District                                             27606     2831      221 sd20-az.txt 26NOV2021 
04 03060 Fowler Elementary District                                                  35693     5937     1308 sd20-az.txt 26NOV2021 
04 03080 Fredonia-Moccasin Unified District                                           3011      452      124 sd20-az.txt 26NOV2021 
04 03240 Gadsden Elementary District                                                 28117     4449     1058 sd20-az.txt 26NOV2021 
04 03290 Ganado Unified District                                                      7210     1502      591 sd20-az.txt 26NOV2021 
04 03310 Gila Bend Unified District                                                   2894      542      183 sd20-az.txt 26NOV2021 
04 03400 Gilbert Unified District                                                   221225    45698     3182 sd20-az.txt 26NOV2021 
04 03420 Glendale Elementary District                                               117034    16774     4437 sd20-az.txt 26NOV2021 
04 03450 Glendale Union High School District                                        387818    20910     3998 sd20-az.txt 26NOV2021 
04 03500 Globe Unified District                                                      10763     1653      288 sd20-az.txt 26NOV2021 
04 03550 Grand Canyon Unified District                                                2784      198       45 sd20-az.txt 26NOV2021 
04 03660 Hackberry School District                                                    1311       97       17 sd20-az.txt 26NOV2021 
04 03730 Hayden-Winkelman Unified District                                            1360      201       43 sd20-az.txt 26NOV2021 
04 00026 Heber-Overgaard Unified District                                             4270      477      145 sd20-az.txt 26NOV2021 
04 03780 Higley Unified District                                                     77624    16392      969 sd20-az.txt 26NOV2021 
04 08460 Hillside Elementary District                                                  151       23        2 sd20-az.txt 26NOV2021 
04 03820 Holbrook Unified District                                                   10988     2231      606 sd20-az.txt 26NOV2021 
